JAM,Bezmer Air Base,BG
AEY,Akureyri Airport,IS
EGS,Egilsstaðir Airport,IS
HFN,Hornafjörður Airport,IS
HZK,Húsavík Airport,IS
IFJ,Ísafjörður Airport,IS
KEF,Keflavik International Airport,IS
RKV,Reykjavik Airport,IS
SIJ,Siglufjörður Airport,IS
VEY,Vestmannaeyjar Airport,IS
PRN,Priština Adem Jashari International Airport,XK
TXC,Orsha Airport - Balbasovo Air Base,BY
ANR,Antwerp International Airport (Deurne),BE
BRU,Brussels Airport,BE
CRL,Brussels South Charleroi Airport,BE
KJK,Wevelgem Airport,BE
LGG,Liège Airport,BE
OST,Ostend-Bruges International Airport,BE
AOC,Altenburg-Nobitz Airport,DE
HDF,Heringsdorf Airport,DE
FNB,Neubrandenburg Airport,DE
BER,Berlin Brandenburg Airport,DE
DRS,Dresden Airport,DE
ERF,Erfurt Airport,DE
FRA,Frankfurt Airport,DE
FMO,Münster Osnabrück Airport,DE
HAM,Hamburg Helmut Schmidt Airport,DE
CGN,Cologne Bonn Airport,DE
DUS,Düsseldorf Airport,DE
MUC,Munich Airport,DE
NUE,Nuremberg Airport,DE
LEJ,Leipzig/Halle Airport,DE
SCN,Saarbrücken Airport,DE
STR,Stuttgart Airport,DE
HAJ,Hannover Airport,DE
BRE,Bremen Airport,DE
HHN,Frankfurt-Hahn Airport,DE
MHG,Mannheim-City Airport,DE
EIB,Eisenach-Kindel Airport,DE
SGE,Siegerland Airport,DE
XFW,Hamburg-Finkenwerder Airport,DE
KEL,Kiel-Holtenau Airport,DE
LBC,Lübeck Blankensee Airport,DE
FMM,Memmingen Allgau Airport,DE
MGL,Mönchengladbach Airport,DE
PAD,Paderborn Lippstadt Airport,DE
NRN,Weeze Airport,DE
DTM,Dortmund Airport,DE
AGB,Augsburg Airport,DE
OBF,Oberpfaffenhofen Airport,DE
FDH,Friedrichshafen Airport,DE
SZW,Schwerin Parchim Airport,DE
BYU,Bayreuth Airport,DE
HOQ,Hof-Plauen Airport,DE
FKB,Karlsruhe Baden-Baden Airport,DE
LHA,Lahr Airport,DE
BWE,Braunschweig-Wolfsburg Airport,DE
KSF,Kassel-Calden Airport,DE
GWT,Westerland Sylt Airport,DE
KDL,Kärdla Airport,EE
URE,Kuressaare Airport,EE
EPU,Pärnu Airport,EE
TLL,Lennart Meri Tallinn Airport,EE
TAY,Tartu Airport,EE
ENF,Enontekio Airport,FI
KEV,Halli Airport,FI
HEL,Helsinki Vantaa Airport,FI
KTQ,Kitee Airport,FI
IVL,Ivalo Airport,FI
JOE,Joensuu Airport,FI
JYV,Jyväskylä Airport,FI
KAU,Kauhava Airfield,FI
KEM,Kemi-Tornio Airport,FI
KAJ,Kajaani Airport,FI
KHJ,Kauhajoki Airfield,FI
KOK,Kokkola-Pietarsaari Airport,FI
KAO,Kuusamo Airport,FI
KTT,Kittilä Airport,FI
KUO,Kuopio Airport,FI
LPP,Lappeenranta Airport,FI
MHQ,Mariehamn Airport,FI
MIK,Mikkeli Airport,FI
OUL,Oulu Airport,FI
POR,Pori Airport,FI
RVN,Rovaniemi Airport,FI
SVL,Savonlinna Airport,FI
SJY,Seinäjoki Airport,FI
SOT,Sodankyla Airport,FI
